Any,Codi comarca,Comarca,Població,Domèstic xarxa,Activitats econòmiques i fonts pròpies,Total,Consum domèstic per càpita
2013,17,"Garraf",146609,7353811,2546227,9900038,137.42
2013,18,"Garrigues",20058,652445,687635,1340080,89.12
2013,19,"Garrotxa",56106,2069654,3860391,5930045,101.06
2013,20,"Gironès",185085,6887295,9276331,16163626,101.95
2013,21,"Maresme",437431,20130855,9240030,29370885,126.08
2013,22,"Montsià",71577,2697538,1707177,4404715,103.25
2013,23,"Noguera",39828,1647118,1170474,2817591,113.3
2013,24,"Osona",155069,5692392,6365183,12057575,100.57
2013,25,"Pallars Jussà",13607,784788,227831,1012619,158.01
2013,26,"Pallars Sobirà",7330,517686,517210,1034897,193.49
2013,27,"Pla d'Urgell",37249,1540980,4116246,5657226,113.34
2013,28,"Pla de l'Estany",31325,1256360,1040814,2297174,109.88
2013,29,"Priorat",9756,366489,112611,479100,102.92
2013,30,"Ribera d'Ebre",23477,926323,7955341,8881664,108.1
2013,31,"Ripollès",25995,1119910,1171390,2291300,118.03
2013,32,"Segarra",22971,777167,1711211,2488379,93.44
2013,33,"Segrià",210141,9066254,7418179,16484433,118.2
2013,34,"Selva",173128,8017307,9620983,17638290,126.87
2013,35,"Solsonès",13621,601085,788604,1389689,120.9
2013,36,"Tarragonès",251226,12549882,38116024,50665906,136.86
2013,37,"Terra Alta",12310,431836,216539,648375,96.11
2013,38,"Urgell",36863,1451771,949845,2401616,107.9
2013,39,"Val d'Aran",10090,1122614,549732,1672345,304.82
2013,40,"Vallès Occidental",898921,35124562,23709406,58833968,107.05
2013,41,"Vallès Oriental",402989,16018513,13212124,29230637,108.9
2012,1,"Alt Camp",45299,1794009,2578545,4372554,108.5
2012,2,"Alt Empordà",141517,8582301,4540324,13122625,166.15
2012,3,"Alt Penedès",106252,4452419,3314181,7766600,114.81
2012,4,"Alt Urgell",21386,973901,1258703,2232604,124.76
2012,5,"Alta Ribagorça",4235,330192,259940,590132,213.61
2012,6,"Anoia",118817,4971310,6916080,11887390,114.63
2012,7,"Bages",186084,7932563,7582740,15515303,116.79
2012,8,"Baix Camp",193535,10540527,4394018,14934544,149.21
2012,9,"Baix Ebre",83125,3700682,4563251,8263933,121.97
2012,10,"Baix Empordà",133754,10422549,5390491,15813040,213.49
2012,11,"Baix Llobregat",806799,32385719,25091638,57477357,109.98
2012,12,"Baix Penedès",101138,6551468,2440290,8991758,177.47
2012,13,"Barcelonès",2254052,86155670,37154412,123310082,104.72
2012,14,"Berguedà",41202,1459891,1178045,2637936,97.08
2012,15,"Cerdanya",19047,1412019,1894932,3306951,203.11
2012,16,"Conca de Barberà",21148,863056,466330,1329386,111.81
2012,17,"Garraf",147107,7785516,2645568,10431084,145
2012,18,"Garrigues",20212,685024,561195,1246219,92.85
2012,19,"Garrotxa",55855,2343497,3737840,6081337,114.95
2012,20,"Gironès",184187,6873505,9548233,16421738,102.24
2012,21,"Maresme",436487,21427948,9270980,30698928,134.5
2012,22,"Montsià",72121,2820336,1906032,4726368,107.14
2012,23,"Noguera",40200,1805873,1552735,3358608,123.07
2012,24,"Osona",154588,6258682,6921381,13180063,110.92
2012,25,"Pallars Jussà",14113,787315,282936,1070251,152.84
2012,26,"Pallars Sobirà",7457,529020,657883,1186903,194.36
2012,27,"Pla d'Urgell",37267,1552508,3962969,5515477,114.13
2012,28,"Pla de l'Estany",31463,1443741,1029743,2473483,125.72
2012,29,"Priorat",9971,380638,111138,491776,104.59
2012,30,"Ribera d'Ebre",23867,958837,8135751,9094588,110.07
2012,31,"Ripollès",26268,1180825,1211295,2392120,123.16
2012,32,"Segarra",23365,825951,1662250,2488201,97.69
2012,33,"Segrià",209965,9425056,7292915,16717971,122.98
2012,34,"Selva",173518,8924994,10043830,18968824,140.92
2012,35,"Solsonès",13676,640383,492441,1132824,128.29
2012,36,"Tarragonès",251282,13680558,41772215,55452773,149.16
2012,37,"Terra Alta",12713,441824,225143,666967,95.22
2012,38,"Urgell",36975,1543234,1422857,2966091,114.35
2012,39,"Val d'Aran",10056,1112630,731409,1844038,303.13
2012,40,"Vallès Occidental",898173,36611134,25651000,62262134,111.68
2012,41,"Vallès Oriental",402632,17020094,14216816,31236910,115.81
