Any,Codi comarca,Comarca,Població,Domèstic xarxa,Activitats econòmiques i fonts pròpies,Total,Consum domèstic per càpita
2021,26,"Pallars Sobirà",7101,569639,565576,1135215,219.78
2021,27,"Pla d'Urgell",36769,1684890,4169719,5854609,125.54
2021,28,"Pla de l'Estany",32876,1390103,1442415,2832518,115.84
2021,29,"Priorat",9239,347558,133327,480885,103.06
2021,30,"Ribera d'Ebre",21864,997496,2944806,3942302,124.99
2021,31,"Ripollès",25449,1131161,1110032,2241193,121.78
2021,32,"Segarra",23412,863188,2685024,3548212,101.01
2021,33,"Segrià",211609,9911298,7487500,17398798,128.32
2021,34,"Selva",175702,9031113,8730934,17762047,140.82
2021,35,"Solsonès",13600,568287,704048,1272335,114.48
2021,36,"Tarragonès",262001,13214891,40877304,54092195,138.19
2021,37,"Terra Alta",11401,408164,203401,611565,98.08
2021,38,"Urgell",37276,1599319,1253057,2852376,117.55
2021,39,"Val d'Aran",10372,1391774,928523,2320297,367.63
2021,40,"Vallès Occidental",937422,38835630,22448842,61284472,113.5
2021,41,"Vallès Oriental",415789,17604767,13078062,30682829,116
2020,1,"Alt Camp",44695,1739657,2765098,4504755,106.64
2020,2,"Alt Empordà",142624,8213884,3763326,11977210,157.78
2020,3,"Alt Penedès",109606,4631724,2826014,7457738,115.78
2020,4,"Alt Urgell",20231,998866,1246176,2245042,135.27
2020,5,"Alta Ribagorça",3825,462235,328691,790926,331.08
2020,6,"Anoia",123024,5237834,5737053,10974887,116.65
2020,7,"Bages",180575,7693992,5930717,13624709,116.74
2020,8,"Baix Camp",194127,9818470,5103559,14922029,138.57
2020,9,"Baix Ebre",78011,3503009,4246346,7749355,123.02
2020,10,"Baix Empordà",135805,10258046,5056592,15314638,206.95
2020,11,"Baix Llobregat",834653,34819985,22181562,57001547,114.3
2020,12,"Baix Penedès",107803,6546748,1836060,8382808,166.38
2020,13,"Barcelonès",2314620,93135769,33065103,126200872,110.24
2020,14,"Berguedà",39980,1492692,1101383,2594075,102.29
2020,15,"Cerdanya",18525,1460081,1715563,3175644,215.94
2020,16,"Conca de Barberà",19947,794102,544995,1339097,109.07
2020,17,"Garraf",152801,7890729,2265947,10156676,141.48
2020,18,"Garrigues",18873,762027,807156,1569183,110.62
2020,19,"Garrotxa",58620,2575160,3741090,6316250,120.36
2020,20,"Gironès",197104,7923915,6691534,14615449,110.14
2020,21,"Maresme",458626,22190829,7576607,29767436,132.56
2020,42,"Moianès",13919,658508,553520,1212028,129.62
2020,22,"Montsià",68263,2863081,1865926,4729007,114.91
2020,23,"Noguera",39132,1812182,1682269,3494451,126.88
2020,24,"Osona",163702,6757954,7920903,14678857,113.1
2020,25,"Pallars Jussà",13227,800873,253477,1054350,165.89
2020,26,"Pallars Sobirà",6930,561646,556285,1117931,222.04
2020,27,"Pla d'Urgell",36737,1659413,4335065,5994478,123.75
